table_addr,dispatcher_addr,record_index,selector,record_stride,pointer_field_addr,target_addr,body_size,body_sha256,terminating_addr,common_response_helper,direct_callees,ram_refs,structural_role,adjudication_state,evidence_grade,verification_source
0x0002b3f0,0x00097160,0,0xfb,8,0x0002b3f4,0x0009729a,74,65e792f96dc7cd1e08df9ced0309109b115144e3797b9ed9014afed4a23f6cf9,0x000972e0,0x0009724e,0x0009724e,,XCP command 0xFB response builder,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,1,0xfa,8,0x0002b3fc,0x000972fa,96,4a0e238c48e006ca4ac32418f048b5732b72d6ce57fc5fa418e9593fc7c0eeaf,0x00097356,0x0009724e,0x000972e4;0x00081f94;0x0009724e,,XCP command 0xFA indexed identifier response,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,2,0xf5,8,0x0002b404,0x00097432,100,b0cc2e993a01ef4c6bd49a8aeb8096f51cfd4447150a89bf153cbe1ec8df15a0,0x00097492,0x0009724e,0x00081fa0;0x0009735a;0x00097406;0x0009724e,,XCP command 0xF5 bounded upload response,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,3,0xf3,8,0x0002b40c,0x00097546,168,8931f1c77b2df68fdc6633ac1981978e82675d29ad91c6e8472349e2327569bd,0x000975ea,0x0009724e,0x00097496;0x000974b2;0x0009735a;0x00097506;0x000972e4;0x0009724e,,XCP command 0xF3 bounded checksum response,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,4,0xeb,8,0x0002b414,0x000975ee,122,5e84ef82874096886d694b6f88d6083cd2fffa3728a0c10086442940f170161d,0x00097664,0x0009724e,0x0009724e,0xfebe5e9c;0xfebe5e9d,XCP command 0xEB page-state writer,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,5,0xea,8,0x0002b41c,0x00097668,104,666f9153b152fbd6e152322b49e61fb414080d88ac476934df7ea6a6f063fc4d,0x000976cc,0x0009724e,0x0009724e,0xfebe5e9c;0xfebe5e9d,XCP command 0xEA page-state reader,seeded,recovered,AssertRecoveredCallbackTables.java
0x0002b3f0,0x00097160,6,0xe4,8,0x0002b424,0x000976f4,106,14367502c37c230022c4c3d55fded0377095e663d89fbe83efc0834efa84050b,0x0009775a,0x0009724e,0x000976d0;0x0009724e,,XCP command 0xE4 guarded page-copy operation,seeded,recovered,AssertRecoveredCallbackTables.java
