channel,setup_addr,setup_size,setup_sha256,state_ram,threshold_record,callback_table,primary_callback,status_index,status_ram,aggregate_addr,classification
0,0x43558,90,5b4fd25fed54dfc8d7a03f713b7a4c7b461e6d85a18873841f67dc228f5fb594,0xFEBE7910,0x2BA5C,0x28984,0x435B2,7,0xFEBE7983,0x43F28,registered plausibility/deadline monitor
1,0x4360A,90,e553e0135c142b9d16c6545be4c6607fb1fa06705b19405d368c8a3cc499b185,0xFEBE791C,0x2BA60,0x289B8,0x43664,8,0xFEBE7984,0x43F28,registered plausibility/deadline monitor
2,0x436BC,90,5ccfd3b4a6f6e1ba254ae6bc6a21b0f25ebe5caf1550e8a3fc63eb996cfc62d0,0xFEBE7928,0x2BA64,0x289EC,0x43784,3,0xFEBE797F,0x43F28,registered plausibility/deadline monitor; wraps 0x43716
3,0x4386C,90,cb2d3403b4ea902daee6ddb322016eb772c9ea0a43c609754ad7fda6099bc946,0xFEBE7934,0x2BA68,0x28A20,0x43934,4,0xFEBE7980,0x43F28,registered plausibility/deadline monitor; wraps 0x438C6
4,0x43A1C,92,0c54979d124bedf06850c780a0662941835dc1293e677204110fa112468cb51a,0xFEBE7940,0x2BA6C,0x28A54,0x43B16,0,0xFEBE797C,0x43F28,registered plausibility/deadline monitor; wraps 0x43A78
5,0x43C0C,72,be2f8bdca8a04ea1269daaa5bd45d0c53152badaacab71aa1962b993f3081488,0xFEBE794C,0x2BA70,0x28A88,0x43C54,1,0xFEBE797D,0x43F28,registered plausibility/deadline monitor
6,0x43CBA,72,b1c65053a3f4c7bb0b4290cbbd68e706f35ae65e9395aa0c266d8d1fcc535ebf,0xFEBE7958,0x2BA74,0x28ABC,0x43D02,2,0xFEBE797E,0x43F28,registered plausibility/deadline monitor
7,0x43D68,92,9792718cc49fe9df216051d4a9ceda20a66002528c3d77e677b4aff641f5c8df,0xFEBE7964,0x2BA78,0x28AF0,0x43DC4,5,0xFEBE7981,0x43F28,registered plausibility/deadline monitor
8,0x43E56,92,ad2e6263b0674b5d383ac08dfabac8c7a7c49614e7ad5949d1f244721a493bd3,0xFEBE7970,0x2BA7C,0x28B24,0x43EB2,6,0xFEBE7982,0x43F28,registered plausibility/deadline monitor
